,Unnamed: 0,ticker,ep,roa,sector,price,currency,roa_place,ep_place,total_place
35,58,NOW,0.2000912849249693,8.111223799864774,Technology,579.73,USD,886,1010,1896
1000,1602,AVNS,1.409682120754185,4.114459871317305,Healthcare,30.83,USD,987,915,1902
828,1344,YELP,1.5371678279270524,3.185987786665628,Communication Services,36.72,USD,1007,897,1904
416,713,WELL,1.3935894669407405,4.157677809247235,Real Estate,83.17,USD,986,918,1904
732,1198,MAC,1.3464457160415375,4.291989897268095,Real Estate,16.54,USD,983,922,1905
308,526,VSAT,1.398220949569055,3.981568413740185,Technology,44.78,USD,991,917,1908
406,694,GE,0.8887148986098792,5.341574229462568,Industrials,101.085,USD,960,960,1920
390,667,GBX,1.4956329809603388,2.0318154710846423,Industrials,43.72,USD,1024,903,1927
261,442,AIR,1.5116964504279515,2.023006743355811,Industrials,43.54,USD,1025,902,1927
447,768,NARI,0.632965186259973,5.688321285882543,Healthcare,77.97,USD,947,981,1928
597,972,ARE,1.342309894495558,3.238271700526181,Real Estate,185.1,USD,1006,923,1929
1010,1617,UPST,0.7911342877341956,5.109249733474761,Financial Services,148.01,USD,963,966,1929
655,1080,AVAV,1.0551686976453571,4.354127708260223,Industrials,60.31,USD,982,948,1930
348,600,KTOS,1.2232899610586594,2.946574225122349,Industrials,17.03,USD,1009,932,1941
958,1532,KEX,1.1848956581225585,2.773961886813812,Industrials,67.995,USD,1012,934,1946
285,484,SQ,0.6535054052793717,4.621561179749062,Technology,111.275,USD,972,976,1948
439,751,SBRA,1.3123660157715795,1.8586554364479604,Real Estate,13.695,USD,1027,924,1951
745,1218,FIGS,0.6907522883368451,4.486060674304911,Consumer Cyclical,19.015,USD,978,973,1951
671,1102,RASP,-9.246045395584767,7.636270539496345,Healthcare,0.027,USD,893,1058,1951
947,1514,TWTR,1.0870319268204325,2.890997153890766,Communication Services,36.2,USD,1010,944,1954
257,438,EGRX,1.1334220922643516,2.5824180083251296,Healthcare,47.75,USD,1015,940,1955
934,1495,PANW,-0.5318244101491311,6.352705410821644,Technology,526.74,USD,926,1032,1958
756,1233,EVT.DE,0.7929424960350299,3.930587787694014,Healthcare,28.25,EUR,994,965,1959
240,399,CCJ,1.1905928002695585,1.8337458931820136,Energy,21.975,USD,1028,933,1961
119,187,ANAB,1.3803466375025228,1.0259380300335086,Healthcare,30.84,USD,1042,919,1961
1030,1649,SRDX,0.6526962298462405,4.2456445102947935,Healthcare,43.88,USD,985,977,1962
246,411,PODD,0.3886490419189173,4.602454642475987,Healthcare,248.08,USD,973,996,1969
74,96,MLAB,0.9255407695107448,2.7499261717596437,Technology,255.74,USD,1013,958,1971
11,19,JD,1.2378796500038352,1.2194338441984724,Consumer Cyclical,76.13,USD,1040,931,1971
21,36,ALTR,0.6446409083571154,3.966486772087406,Technology,61.85,USD,992,980,1972
203,340,FLOT.ME,0.1380140684201747,5.467843837615701,Industrials,68.32,RUB,957,1015,1972
150,240,KRG,0.7654404014265905,3.2887806981894183,Real Estate,22.19,USD,1003,969,1972
